id,cat,subcat,maintenance
P160,Musical Instruments,Amplifiers,Corrective
P161,Arts & Crafts,Pottery,Scheduled
P162,Baby Products,Baby Proofing,Preventive
P163,Software,Video Editing,Corrective
P164,Industrial,Valves,Scheduled
P165,Services,Legal Services,Preventive
P166,Electronics,Portable Speakers,Corrective
P167,Home Goods,Cleaning Supplies,Scheduled
P168,Apparel,Formal Wear,Preventive
P169,Books,Biographies,Corrective
P170,Sports & Outdoors,Yoga & Pilates,Scheduled
P171,Beauty,Hair Removal,Preventive
P172,Food & Beverage,Spices,Corrective
P173,Automotive,Car Cleaning,Scheduled
P174,Toys & Games,Science Kits,Preventive
P175,Health & Wellness,Sleep Aids,Corrective
P176,Pet Supplies,Bird Cages,Scheduled
P177,Office Supplies,Staplers,Preventive
P178,Garden & Outdoor,Hoses,Corrective
P179,Jewelry,Charms,Scheduled
P180,Musical Instruments,Microphones,Preventive
P181,Arts & Crafts,Calligraphy,Corrective
P182,Baby Products,Bath Toys,Scheduled
P183,Software,Photo Editing,Preventive
P184,Industrial,Pumps,Corrective
P185,Services,Event Planning,Scheduled
P186,Electronics,Action Cameras,Preventive
P187,Home Goods,Smart Home Devices,Corrective
P188,Apparel,Activewear,Scheduled
P189,Books,Self-Help,Preventive
P190,Sports & Outdoors,Golf Equipment,Corrective
P191,Beauty,Oral Care,Scheduled
P192,Food & Beverage,Frozen Meals,Preventive
P193,Automotive,Floor Mats,Corrective
P194,Toys & Games,Art Supplies (Kids),Scheduled
P195,Health & Wellness,Joint Support,Preventive
P196,Pet Supplies,Aquariums,Corrective
P197,Office Supplies,Folders,Scheduled
P198,Garden & Outdoor,Weed Control,Preventive
P199,Jewelry,Brooches,Corrective
P200,Musical Instruments,Sheet Music,Scheduled
