prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
122,PK-00122,Gaming Keyboard,80,Accessories,2023-01-13 00:00:00,2024-12-31 23:59:59
123,PK-00123,Stream Deck,200,Accessories,2023-01-13 00:00:00,2024-12-31 23:59:59
124,PK-00124,High Refresh Rate Monitor,320,Electronics,2023-01-13 00:00:00,2024-12-31 23:59:59
125,PK-00125,Large Format Printer,600,Electronics,2023-01-13 00:00:00,2024-12-31 23:59:59
126,PK-00126,Conference Table,300,Office Furniture,2023-01-13 00:00:00,2024-12-31 23:59:59
127,PK-00127,Server Hard Drive,150,Storage,2023-01-13 00:00:00,2024-12-31 23:59:59
128,PK-00128,Fiber Optic Cable,50,Networking,2023-01-13 00:00:00,2024-12-31 23:59:59
129,PK-00129,3D Printer,400,Manufacturing,2023-01-13 00:00:00,2024-12-31 23:59:59
130,PK-00130,AV Receiver,350,Audio,2023-01-13 00:00:00,2024-12-31 23:59:59
131,PK-00131,Mini PC,300,Electronics,2023-01-14 00:00:00,2024-12-31 23:59:59
132,PK-00132,Microphone Stand,25,Audio,2023-01-14 00:00:00,2024-12-31 23:59:59
133,PK-00133,KVM Switch,70,Accessories,2023-01-14 00:00:00,2024-12-31 23:59:59
134,PK-00134,Smart Whiteboard,800,Office Equipment,2023-01-14 00:00:00,2024-12-31 23:59:59
135,PK-00135,Paper Shredder,50,Office Equipment,2023-01-14 00:00:00,2024-12-31 23:59:59
136,PK-00136,Office Partition,150,Office Furniture,2023-01-14 00:00:00,2024-12-31 23:59:59
137,PK-00137,USB Flash Drive 128GB,20,Storage,2023-01-14 00:00:00,2024-12-31 23:59:59
138,PK-00138,USB Hub 3.0,15,Accessories,2023-01-14 00:00:00,2024-12-31 23:59:59
139,PK-00139,Portable Label Maker,40,Office Equipment,2023-01-14 00:00:00,2024-12-31 23:59:59
140,PK-00140,In-Ear Monitors,120,Audio,2023-01-14 00:00:00,2024-12-31 23:59:59
141,PK-00141,Workstation Laptop,1600,Electronics,2023-01-15 00:00:00,2024-12-31 23:59:59
142,PK-00142,Stylus Pen,10,Accessories,2023-01-15 00:00:00,2024-12-31 23:59:59
143,PK-00143,Webcam Ring Light,30,Accessories,2023-01-15 00:00:00,2024-12-31 23:59:59
144,PK-00144,Portable Charger High Capacity,50,Accessories,2023-01-15 00:00:00,2024-12-31 23:59:59
145,PK-00145,Smart Plug Outdoor,30,Smart Home,2023-01-15 00:00:00,2024-12-31 23:59:59
146,PK-00146,Security Camera Outdoor,110,Security,2023-01-15 00:00:00,2024-12-31 23:59:59
147,PK-00147,Car DVR,80,Automotive,2023-01-15 00:00:00,2024-12-31 23:59:59
148,PK-00148,Gaming Chair,150,Gaming,2023-01-15 00:00:00,2024-12-31 23:59:59
149,PK-00149,Smart Projector,400,Electronics,2023-01-15 00:00:00,2024-12-31 23:59:59
150,PK-00150,Smart Lighting Kit,90,Smart Home,2023-01-15 00:00:00,2024-12-31 23:59:59
151,PK-00151,All-in-One Desktop,700,Electronics,2023-01-16 00:00:00,2024-12-31 23:59:59
152,PK-00152,Portable SSD 500GB,70,Storage,2023-01-16 00:00:00,2024-12-31 23:59:59
153,PK-00153,USB-C to HDMI Adapter,20,Accessories,2023-01-16 00:00:00,2024-12-31 23:59:59
154,PK-00154,Monitor Arm,40,Office Furniture,2023-01-16 00:00:00,2024-12-31 23:59:59
155,PK-00155,Binding Machine,80,Office Equipment,2023-01-16 00:00:00,2024-12-31 23:59:59
156,PK-00156,Fireproof Safe,120,Office Furniture,2023-01-16 00:00:00,2024-12-31 23:59:59
157,PK-00157,External HDD 4TB,120,Storage,2023-01-16 00:00:00,2024-12-31 23:59:59
158,PK-00158,Network Cable Tester,30,Networking,2023-01-16 00:00:00,2024-12-31 23:59:59
159,PK-00159,Photo Paper Pack,15,Photography,2023-01-16 00:00:00,2024-12-31 23:59:59
160,PK-00160,Gaming Headset Stand,20,Accessories,2023-01-16 00:00:00,2024-12-31 23:59:59
161,PK-00161,Gaming Desktop,1300,Electronics,2023-01-17 00:00:00,2024-12-31 23:59:59
162,PK-00162,VR Cables,40,Gaming,2023-01-17 00:00:00,2024-12-31 23:59:59
163,PK-00163,Webcam Cover (3-pack),5,Accessories,2023-01-17 00:00:00,2024-12-31 23:59:59
164,PK-00164,Portable Photo Studio,60,Photography,2023-01-17 00:00:00,2024-12-31 23:59:59
165,PK-00165,Digital Whiteboard,500,Office Equipment,2023-01-17 00:00:00,2024-12-31 23:59:59
166,PK-00166,Ergonomic Footrest,40,Office Furniture,2023-01-17 00:00:00,2024-12-31 23:59:59
167,PK-00167,External GPU Enclosure,250,Accessories,2023-01-17 00:00:00,2024-12-31 23:59:59
168,PK-00168,Smart Home Sensor Kit,80,Smart Home,2023-01-17 00:00:00,2024-12-31 23:59:59
169,PK-00169,Security Camera System,300,Security,2023-01-17 00:00:00,2024-12-31 23:59:59
170,PK-00170,Car Vacuum Cleaner,35,Automotive,2023-01-17 00:00:00,2024-12-31 23:59:59
171,PK-00171,Server Blade,2000,IT Infrastructure,2023-01-18 00:00:00,2024-12-31 23:59:59
172,PK-00172,Graphic Tablet with Screen,500,Accessories,2023-01-18 00:00:00,2024-12-31 23:59:59
173,PK-00173,Condenser Microphone,100,Audio,2023-01-18 00:00:00,2024-12-31 23:59:59
174,PK-00174,Portable Charger Solar,45,Accessories,2023-01-18 00:00:00,2024-12-31 23:59:59
175,PK-00175,Smart Coffee Maker,80,Smart Home,2023-01-18 00:00:00,2024-12-31 23:59:59
176,PK-00176,Smart Lock,160,Security,2023-01-18 00:00:00,2024-12-31 23:59:59
177,PK-00177,Dash Cam Dual Lens,120,Automotive,2023-01-18 00:00:00,2024-12-31 23:59:59
178,PK-00178,Racing Wheel,250,Gaming,2023-01-18 00:00:00,2024-12-31 23:59:59
179,PK-00179,Smart Display,150,Smart Home,2023-01-18 00:00:00,2024-12-31 23:59:59
180,PK-00180,Portable Bluetooth Speaker High-End,180,Audio,2023-01-18 00:00:00,2024-12-31 23:59:59
181,PK-00181,Laptop for Business,1200,Electronics,2023-01-19 00:00:00,2024-12-31 23:59:59
182,PK-00182,USB-C Docking Station,90,Accessories,2023-01-19 00:00:00,2024-12-31 23:59:59
183,PK-00183,Wireless Presenter,30,Accessories,2023-01-19 00:00:00,2024-12-31 23:59:59
184,PK-00184,Gaming Laptop Cooling Pad,40,Accessories,2023-01-19 00:00:00,2024-12-31 23:59:59
185,PK-00185,Electric Kettle Smart,60,Smart Home,2023-01-19 00:00:00,2024-12-31 23:59:59
186,PK-00186,Smart Sprinkler Controller,100,Smart Home,2023-01-19 00:00:00,2024-12-31 23:59:59
187,PK-00187,Video Doorbell,150,Security,2023-01-19 00:00:00,2024-12-31 23:59:59
188,PK-00188,Portable Air Compressor,50,Automotive,2023-01-19 00:00:00,2024-12-31 23:59:59
189,PK-00189,VR Racing Seat,500,Gaming,2023-01-19 00:00:00,2024-12-31 23:59:59
190,PK-00190,Smart Scale with Body Fat,65,Health & Wellness,2023-01-19 00:00:00,2024-12-31 23:59:59
191,PK-00191,Desktop PC for Home,800,Electronics,2023-01-20 00:00:00,2024-12-31 23:59:59
192,PK-00192,Webcam with Microphone,40,Accessories,2023-01-20 00:00:00,2024-12-31 23:59:59
193,PK-00193,USB Ethernet Adapter,20,Networking,2023-01-20 00:00:00,2024-12-31 23:59:59
194,PK-00194,HDMI Splitter,25,Accessories,2023-01-20 00:00:00,2024-12-31 23:59:59
195,PK-00195,Portable Photo Scanner,90,Office Equipment,2023-01-20 00:00:00,2024-12-31 23:59:59
196,PK-00196,Ergonomic Keyboard Wrist Rest,15,Accessories,2023-01-20 00:00:00,2024-12-31 23:59:59
197,PK-00197,External Hard Drive 1TB,60,Storage,2023-01-20 00:00:00,2024-12-31 23:59:59
198,PK-00198,USB-C to USB 3.0 Adapter,10,Accessories,2023-01-20 00:00:00,2024-12-31 23:59:59
199,PK-00199,Headphone Amplifier,70,Audio,2023-01-20 00:00:00,2024-12-31 23:59:59
200,PK-00200,Smart Bulb (single),20,Smart Home,2023-01-20 00:00:00,2024-12-31 23:59:59
